pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn,Cluster,Deficit_Tier
1005379,2,2,0,0,0,0,0,2,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
1006447,9,8,1,0,0,0,0,9,9,0,0,3,6,0,0,5,4,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,1,Moderate Deficit
1014724,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
1016887,5,2,3,0,3,0,0,2,5,0,0,1,1,3,1,2,2,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,Server Deficit
1028126,2,1,1,0,1,0,1,0,2,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
1035166,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Server Deficit
1038519,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
1039133,26,15,11,0,10,5,4,7,23,3,0,1,12,13,23,10,4,0,1,3,3,5,0,0,2,2,0,14,0,3,1,1,0,5,0,0,2,2,Well Equipped
1039858,6,6,0,0,0,2,0,4,5,1,0,1,3,2,0,3,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,1,Moderate Deficit
1040605,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
1040663,19,13,6,0,3,2,1,13,19,0,0,2,5,12,10,1,1,8,0,0,1,8,0,0,0,1,1,11,0,0,0,0,0,6,0,0,0,2,Well Equipped
1043190,7,5,2,0,0,1,0,6,7,0,0,1,2,4,0,3,4,0,0,0,0,0,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,1,Moderate Deficit
1047306,6,2,4,0,4,0,2,0,6,0,0,1,2,3,1,1,4,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
1047716,6,2,4,0,1,0,2,3,6,0,0,0,2,4,1,2,3,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
1060175,6,4,2,0,1,2,2,1,6,0,0,3,2,1,0,2,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
1065663,2,2,0,0,1,1,0,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
1068370,6,4,2,0,0,2,2,2,2,3,1,0,4,2,0,0,0,1,1,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
1070027,2,2,0,0,0,1,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Server Deficit
1075462,13,12,1,0,2,1,2,8,13,0,0,1,5,7,1,2,0,4,0,0,3,4,0,0,0,1,0,10,0,2,0,0,0,0,0,0,1,2,Well Equipped
1078177,7,7,0,0,1,2,1,3,7,0,0,0,4,3,0,0,3,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,Moderate Deficit
1079581,2,2,0,0,0,0,2,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Server Deficit
1086665,3,3,0,0,0,0,3,0,3,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
