total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,Cluster,Deficit Tier
7,0,7,0,1,1,0,0,Server Deficit
40,14,26,0,5,5,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
8,0,8,0,0,2,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
8,1,7,0,2,1,0,0,Server Deficit
23,1,22,0,9,1,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
16,5,11,0,0,0,0,0,Server Deficit
5,0,5,0,1,2,0,0,Server Deficit
1,0,1,0,0,0,0,0,Server Deficit
15,3,12,0,1,1,0,0,Server Deficit
1,1,0,0,0,0,0,0,Server Deficit
7,0,7,0,4,1,0,0,Server Deficit
6,0,6,0,1,0,2,0,Server Deficit
25,0,25,0,1,4,0,1,Moderate Deficit
2,0,2,0,0,0,0,0,Server Deficit
21,1,20,0,2,1,0,0,Server Deficit
6,1,5,0,2,0,0,0,Server Deficit
7,0,7,0,0,2,0,0,Server Deficit
10,0,10,0,0,1,0,0,Server Deficit
6,0,6,0,1,0,0,0,Server Deficit
9,1,8,0,0,0,0,0,Server Deficit
45,0,45,0,3,6,0,1,Moderate Deficit
33,6,27,0,5,5,0,1,Moderate Deficit
22,0,22,0,6,1,0,0,Server Deficit
2,1,1,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
1,1,0,0,0,1,0,0,Server Deficit
12,1,11,0,12,0,0,0,Server Deficit
75,25,50,0,12,15,0,2,Well Equipped
15,0,15,0,0,3,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
9,1,8,0,6,0,0,0,Server Deficit
5,1,4,0,1,0,0,0,Server Deficit
2,0,2,0,0,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
4,0,4,0,0,0,0,0,Server Deficit
7,1,6,0,0,0,0,0,Server Deficit
12,1,11,0,4,1,0,0,Server Deficit
14,4,10,0,1,4,0,1,Moderate Deficit
6,0,6,0,0,2,0,0,Server Deficit
7,3,4,0,0,2,0,0,Server Deficit
24,1,23,0,2,4,0,1,Moderate Deficit
2,0,2,0,1,0,0,0,Server Deficit
8,4,4,0,3,0,0,0,Server Deficit
32,2,30,0,2,1,0,1,Moderate Deficit
27,16,11,0,0,0,0,1,Moderate Deficit
4,2,2,0,0,0,0,0,Server Deficit
7,1,6,0,1,0,0,0,Server Deficit
58,8,50,0,18,1,0,2,Well Equipped
22,7,15,0,3,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
8,0,8,0,1,0,0,0,Server Deficit
19,9,10,0,1,0,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
4,0,4,0,0,4,0,0,Server Deficit
7,2,5,0,0,2,0,0,Server Deficit
4,2,2,0,0,0,0,0,Server Deficit
2,0,2,0,0,2,0,0,Server Deficit
39,11,28,0,39,0,0,2,Well Equipped
7,0,7,0,1,1,0,0,Server Deficit
107,7,100,0,47,2,0,2,Well Equipped
14,0,14,0,7,0,0,0,Server Deficit
4,1,3,0,1,0,0,0,Server Deficit
24,6,18,0,1,8,0,1,Moderate Deficit
8,1,7,0,2,2,0,0,Server Deficit
6,2,4,0,0,0,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
31,13,18,0,4,4,0,1,Moderate Deficit
4,1,3,0,1,0,0,0,Server Deficit
35,13,22,0,2,7,0,1,Moderate Deficit
24,4,20,0,1,1,0,0,Server Deficit
27,3,24,0,1,14,0,1,Moderate Deficit
7,0,7,0,1,0,0,0,Server Deficit
5,1,4,0,0,1,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
5,0,5,0,0,1,0,0,Server Deficit
17,3,14,0,3,1,0,0,Server Deficit
5,1,4,0,1,0,0,0,Server Deficit
4,0,4,0,0,0,0,0,Server Deficit
