total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,Cluster,Deficit Tier
85,22,63,0,70,0,0,2,Well Equipped
1,1,0,0,0,0,0,0,Server Deficit
2,1,1,0,1,0,0,0,Server Deficit
27,12,15,0,5,7,0,1,Moderate Deficit
2,1,1,0,0,0,0,0,Server Deficit
3,1,2,0,1,0,0,0,Server Deficit
2,2,0,0,0,0,0,0,Server Deficit
4,3,1,0,1,0,0,0,Server Deficit
4,2,2,0,0,0,0,0,Server Deficit
13,2,11,0,3,3,0,1,Moderate Deficit
17,8,9,0,9,0,0,0,Server Deficit
9,1,8,0,4,0,0,0,Server Deficit
6,4,2,0,6,0,0,0,Server Deficit
8,6,2,0,8,0,0,0,Server Deficit
15,4,11,0,6,2,0,1,Moderate Deficit
7,4,3,0,4,1,0,0,Server Deficit
15,8,7,0,8,7,0,1,Moderate Deficit
13,8,5,0,6,3,0,1,Moderate Deficit
11,8,3,0,2,1,0,0,Server Deficit
4,2,2,0,1,1,0,0,Server Deficit
5,3,2,0,1,1,1,0,Server Deficit
3,1,2,0,1,0,0,0,Server Deficit
3,2,1,0,1,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
10,5,5,0,5,0,0,0,Server Deficit
10,0,10,0,4,1,1,0,Server Deficit
5,3,2,0,1,0,0,0,Server Deficit
11,9,2,0,3,0,0,0,Server Deficit
1,1,0,0,0,0,0,0,Server Deficit
3,0,3,0,0,0,0,0,Server Deficit
3,3,0,0,3,0,0,0,Server Deficit
10,5,5,0,4,2,0,1,Moderate Deficit
25,16,9,0,20,0,0,1,Moderate Deficit
10,7,3,0,6,0,0,0,Server Deficit
3,2,1,0,0,0,0,0,Server Deficit
4,2,2,0,1,0,0,0,Server Deficit
11,6,5,0,3,2,1,1,Moderate Deficit
11,4,7,0,3,2,1,1,Moderate Deficit
8,2,6,0,5,0,0,0,Server Deficit
3,2,1,0,1,0,0,0,Server Deficit
8,4,4,0,1,2,0,0,Server Deficit
3,1,2,0,2,1,0,0,Server Deficit
2,0,2,0,0,0,0,0,Server Deficit
17,11,6,0,3,0,0,0,Server Deficit
18,5,13,0,6,3,0,1,Moderate Deficit
9,3,6,0,5,1,0,0,Server Deficit
7,2,5,0,0,0,0,0,Server Deficit
6,3,3,0,0,1,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
10,3,7,0,4,1,0,0,Server Deficit
1,1,0,0,0,1,0,0,Server Deficit
8,1,7,0,4,1,0,0,Server Deficit
11,7,4,0,1,1,0,0,Server Deficit
4,1,3,0,3,1,0,0,Server Deficit
9,6,3,0,0,1,0,0,Server Deficit
2,2,0,0,0,0,0,0,Server Deficit
9,5,4,0,0,0,0,0,Server Deficit
24,17,7,0,2,2,0,1,Moderate Deficit
13,4,9,0,1,4,0,1,Moderate Deficit
5,1,4,0,5,0,0,0,Server Deficit
7,4,3,0,3,1,0,0,Server Deficit
7,5,2,0,1,0,0,0,Server Deficit
29,16,13,0,19,2,0,1,Moderate Deficit
4,3,1,0,0,1,0,0,Server Deficit
5,3,2,0,2,1,0,0,Server Deficit
5,5,0,0,0,0,0,0,Server Deficit
0,0,0,0,0,0,0,0,Server Deficit
8,3,5,0,5,1,0,0,Server Deficit
1,1,0,0,1,0,0,0,Server Deficit
2,1,1,0,0,0,0,0,Server Deficit
3,3,0,0,0,1,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
2,1,1,0,0,2,0,0,Server Deficit
17,4,13,0,12,1,0,1,Moderate Deficit
2,2,0,0,2,0,0,0,Server Deficit
11,2,9,0,2,1,0,0,Server Deficit
39,18,21,0,9,10,15,1,Moderate Deficit
11,8,3,0,4,1,0,0,Server Deficit
3,0,3,0,0,2,0,0,Server Deficit
2,1,1,0,0,1,0,0,Server Deficit
16,12,4,0,6,0,0,0,Server Deficit
8,4,4,0,2,1,0,0,Server Deficit
12,3,9,0,8,0,0,0,Server Deficit
