total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,Cluster,Deficit Tier
1,0,1,0,1,0,0,1,Moderate Deficit
10,1,9,0,10,0,0,1,Moderate Deficit
8,0,8,0,2,0,0,1,Moderate Deficit
49,4,45,0,21,7,0,0,Server Deficit
10,1,9,0,4,1,0,1,Moderate Deficit
8,2,6,0,2,0,0,1,Moderate Deficit
3,0,3,0,0,0,0,1,Moderate Deficit
7,4,3,0,0,2,0,1,Moderate Deficit
12,0,12,0,11,1,0,1,Moderate Deficit
21,2,19,0,1,0,0,1,Moderate Deficit
9,4,5,0,0,1,1,1,Moderate Deficit
3,2,1,0,0,2,0,1,Moderate Deficit
20,4,16,0,1,4,0,1,Moderate Deficit
19,0,19,0,3,0,0,1,Moderate Deficit
10,3,7,0,2,0,0,1,Moderate Deficit
9,3,6,0,5,0,0,1,Moderate Deficit
4,1,3,0,1,1,0,1,Moderate Deficit
29,1,28,0,0,1,0,1,Moderate Deficit
3,1,2,0,0,0,0,1,Moderate Deficit
5,1,4,0,1,0,0,1,Moderate Deficit
15,1,14,0,0,0,0,1,Moderate Deficit
25,3,22,0,5,3,0,1,Moderate Deficit
1,0,1,0,0,0,0,1,Moderate Deficit
8,1,7,0,7,1,0,1,Moderate Deficit
2,1,1,0,0,1,0,1,Moderate Deficit
32,8,24,0,10,1,1,1,Moderate Deficit
51,11,40,0,42,1,0,0,Server Deficit
8,2,6,0,8,0,0,1,Moderate Deficit
22,1,21,0,19,0,1,1,Moderate Deficit
23,1,22,0,3,0,0,1,Moderate Deficit
14,4,10,0,1,1,0,1,Moderate Deficit
6,0,6,0,6,0,0,1,Moderate Deficit
6,1,5,0,6,0,0,1,Moderate Deficit
13,1,12,0,5,0,0,1,Moderate Deficit
11,0,11,0,4,2,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
17,0,17,0,13,2,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
18,0,18,0,6,0,0,1,Moderate Deficit
1,0,1,0,0,0,0,1,Moderate Deficit
16,0,16,0,16,0,0,1,Moderate Deficit
19,6,13,0,7,2,0,1,Moderate Deficit
5,1,4,0,1,1,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
18,1,17,0,10,0,0,1,Moderate Deficit
12,0,12,0,8,1,0,1,Moderate Deficit
21,2,19,0,20,0,0,1,Moderate Deficit
2,0,2,0,0,2,0,1,Moderate Deficit
44,7,37,0,42,1,0,0,Server Deficit
15,1,14,0,4,0,0,1,Moderate Deficit
27,2,25,0,6,3,0,1,Moderate Deficit
5,1,4,0,1,0,0,1,Moderate Deficit
33,4,29,0,7,0,0,1,Moderate Deficit
13,0,13,0,1,0,0,1,Moderate Deficit
29,3,26,0,14,3,0,1,Moderate Deficit
7,2,5,0,0,1,0,1,Moderate Deficit
7,1,6,0,2,0,0,1,Moderate Deficit
34,4,30,0,3,0,0,1,Moderate Deficit
6,0,6,0,0,0,0,1,Moderate Deficit
11,2,9,0,4,0,0,1,Moderate Deficit
13,3,10,0,3,3,0,1,Moderate Deficit
3,0,3,0,1,0,0,1,Moderate Deficit
8,3,5,0,1,1,0,1,Moderate Deficit
8,1,7,0,2,0,0,1,Moderate Deficit
20,4,16,0,17,1,1,1,Moderate Deficit
35,2,33,0,11,1,0,1,Moderate Deficit
6,1,5,0,6,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
12,7,5,0,10,1,0,1,Moderate Deficit
82,4,78,0,66,5,0,0,Server Deficit
3,2,1,0,0,0,0,1,Moderate Deficit
13,2,11,0,3,1,0,1,Moderate Deficit
5,1,4,0,1,1,0,1,Moderate Deficit
41,2,39,0,26,3,0,1,Moderate Deficit
15,3,12,0,5,1,0,1,Moderate Deficit
4,1,3,0,0,0,2,1,Moderate Deficit
11,1,10,0,8,2,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
13,3,10,0,2,0,0,1,Moderate Deficit
74,3,71,0,16,1,2,0,Server Deficit
6,2,4,0,0,2,0,1,Moderate Deficit
3,0,3,0,3,0,0,1,Moderate Deficit
18,3,15,0,2,2,0,1,Moderate Deficit
6,1,5,0,2,0,0,1,Moderate Deficit
42,2,40,0,2,3,0,1,Moderate Deficit
6,2,4,0,2,0,0,1,Moderate Deficit
6,2,4,0,6,0,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
9,1,8,0,2,3,0,1,Moderate Deficit
4,4,0,0,0,1,1,1,Moderate Deficit
3,3,0,0,0,0,0,1,Moderate Deficit
39,4,35,0,39,0,0,1,Moderate Deficit
3,1,2,0,0,1,0,1,Moderate Deficit
11,2,9,0,0,0,0,1,Moderate Deficit
3,1,2,0,0,0,0,1,Moderate Deficit
32,4,28,0,32,0,0,1,Moderate Deficit
11,2,9,0,5,1,0,1,Moderate Deficit
7,1,6,0,3,0,0,1,Moderate Deficit
14,0,14,0,6,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
10,2,8,0,2,2,0,1,Moderate Deficit
14,0,14,0,0,2,0,1,Moderate Deficit
19,5,14,0,2,0,0,1,Moderate Deficit
4,1,3,0,1,0,0,1,Moderate Deficit
16,3,13,0,2,0,1,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
17,0,17,0,10,1,0,1,Moderate Deficit
4,1,3,0,1,2,0,1,Moderate Deficit
3,0,3,0,1,0,0,1,Moderate Deficit
96,8,88,0,85,1,0,0,Server Deficit
10,4,6,0,1,1,1,1,Moderate Deficit
10,1,9,0,10,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
3,1,2,0,2,0,1,1,Moderate Deficit
4,0,4,0,0,0,0,1,Moderate Deficit
1,0,1,0,1,0,0,1,Moderate Deficit
11,4,7,0,4,2,0,1,Moderate Deficit
2,2,0,0,0,0,1,1,Moderate Deficit
57,8,49,0,57,0,0,0,Server Deficit
84,5,79,0,63,5,0,0,Server Deficit
16,4,12,0,10,0,0,1,Moderate Deficit
5,4,1,0,1,2,0,1,Moderate Deficit
35,5,30,0,9,1,1,1,Moderate Deficit
9,0,9,0,4,0,1,1,Moderate Deficit
13,7,6,0,1,0,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
8,1,7,0,1,1,0,1,Moderate Deficit
13,0,13,0,12,1,0,1,Moderate Deficit
13,4,9,0,5,1,1,1,Moderate Deficit
46,2,44,0,26,1,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
3,0,3,0,1,0,0,1,Moderate Deficit
14,5,9,0,5,2,0,1,Moderate Deficit
2,0,2,0,1,0,0,1,Moderate Deficit
5,1,4,0,1,3,0,1,Moderate Deficit
23,1,22,0,23,0,0,1,Moderate Deficit
12,1,11,0,2,0,0,1,Moderate Deficit
16,1,15,0,5,3,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
2,0,2,0,2,0,0,1,Moderate Deficit
81,6,75,0,77,2,1,0,Server Deficit
12,2,10,0,9,2,0,1,Moderate Deficit
20,3,17,0,19,0,0,1,Moderate Deficit
3,2,1,0,0,1,0,1,Moderate Deficit
117,15,102,0,117,0,0,0,Server Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
9,1,8,0,9,0,0,1,Moderate Deficit
8,0,8,0,8,0,0,1,Moderate Deficit
8,1,7,0,2,0,0,1,Moderate Deficit
22,14,8,0,1,0,1,1,Moderate Deficit
12,0,12,0,6,1,0,1,Moderate Deficit
13,1,12,0,7,2,0,1,Moderate Deficit
1,0,1,0,1,0,0,1,Moderate Deficit
23,1,22,0,1,1,0,1,Moderate Deficit
2,0,2,0,1,0,0,1,Moderate Deficit
10,1,9,0,10,0,0,1,Moderate Deficit
23,1,22,0,12,1,0,1,Moderate Deficit
26,3,23,0,0,0,0,1,Moderate Deficit
9,0,9,0,5,0,0,1,Moderate Deficit
5,3,2,0,0,1,0,1,Moderate Deficit
37,6,31,0,8,0,0,1,Moderate Deficit
17,0,17,0,15,0,0,1,Moderate Deficit
11,0,11,0,6,0,0,1,Moderate Deficit
11,1,10,0,10,0,0,1,Moderate Deficit
4,0,4,0,0,0,0,1,Moderate Deficit
6,2,4,0,2,1,0,1,Moderate Deficit
8,1,7,0,2,0,0,1,Moderate Deficit
23,2,21,0,1,0,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
12,1,11,0,8,0,1,1,Moderate Deficit
8,4,4,0,1,1,1,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
2,0,2,0,0,1,0,1,Moderate Deficit
10,2,8,0,6,2,0,1,Moderate Deficit
9,1,8,0,6,0,1,1,Moderate Deficit
6,0,6,0,1,0,0,1,Moderate Deficit
2,1,1,0,0,0,0,1,Moderate Deficit
4,0,4,0,1,0,0,1,Moderate Deficit
22,2,20,0,17,3,0,1,Moderate Deficit
13,2,11,0,4,0,0,1,Moderate Deficit
17,2,15,0,12,0,0,1,Moderate Deficit
18,0,18,0,16,2,0,1,Moderate Deficit
99,16,83,0,99,0,0,0,Server Deficit
3,1,2,0,3,0,0,1,Moderate Deficit
16,7,9,0,6,0,0,1,Moderate Deficit
10,1,9,0,6,0,1,1,Moderate Deficit
7,0,7,0,0,0,0,1,Moderate Deficit
3,1,2,0,1,1,0,1,Moderate Deficit
4,0,4,0,0,0,0,1,Moderate Deficit
3,0,3,0,0,0,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
1,0,1,0,1,0,0,1,Moderate Deficit
40,8,32,0,31,3,0,0,Server Deficit
6,0,6,0,6,0,0,1,Moderate Deficit
91,2,89,0,90,0,0,0,Server Deficit
2,1,1,0,1,0,0,1,Moderate Deficit
14,3,11,0,4,0,0,1,Moderate Deficit
33,1,32,0,26,1,0,1,Moderate Deficit
13,1,12,0,8,2,0,1,Moderate Deficit
42,3,39,0,20,4,0,1,Moderate Deficit
12,2,10,0,9,1,0,1,Moderate Deficit
7,5,2,0,1,1,1,1,Moderate Deficit
38,1,37,0,37,0,0,1,Moderate Deficit
90,8,82,0,78,3,0,0,Server Deficit
16,2,14,0,1,2,0,1,Moderate Deficit
26,2,24,0,26,0,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
39,8,31,0,30,2,1,0,Server Deficit
20,2,18,0,8,3,0,1,Moderate Deficit
8,1,7,0,1,1,0,1,Moderate Deficit
7,1,6,0,1,0,0,1,Moderate Deficit
1,0,1,0,0,0,0,1,Moderate Deficit
14,0,14,0,13,0,0,1,Moderate Deficit
10,3,7,0,1,0,0,1,Moderate Deficit
3,0,2,1,1,0,2,2,Well Equipped
17,1,16,0,3,0,0,1,Moderate Deficit
36,2,34,0,30,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
25,1,24,0,23,1,0,1,Moderate Deficit
23,4,19,0,5,6,0,1,Moderate Deficit
11,2,9,0,3,1,1,1,Moderate Deficit
21,2,19,0,11,2,0,1,Moderate Deficit
6,0,6,0,0,0,0,1,Moderate Deficit
12,3,9,0,6,0,1,1,Moderate Deficit
10,0,10,0,4,1,0,1,Moderate Deficit
2,0,2,0,2,0,0,1,Moderate Deficit
18,2,16,0,12,0,0,1,Moderate Deficit
13,2,11,0,1,1,1,1,Moderate Deficit
16,3,13,0,3,2,0,1,Moderate Deficit
5,0,5,0,0,2,0,1,Moderate Deficit
12,4,8,0,9,0,0,1,Moderate Deficit
12,3,9,0,5,0,0,1,Moderate Deficit
3,0,3,0,1,0,0,1,Moderate Deficit
5,3,2,0,1,2,0,1,Moderate Deficit
5,0,5,0,2,1,0,1,Moderate Deficit
36,4,32,0,1,0,0,1,Moderate Deficit
2,0,2,0,1,1,0,1,Moderate Deficit
8,0,8,0,1,0,0,1,Moderate Deficit
13,1,12,0,1,0,0,1,Moderate Deficit
13,1,12,0,2,0,0,1,Moderate Deficit
1,0,1,0,0,0,0,1,Moderate Deficit
10,4,6,0,5,0,0,1,Moderate Deficit
10,0,10,0,1,3,0,1,Moderate Deficit
1,0,1,0,0,0,0,1,Moderate Deficit
4,2,2,0,1,2,0,1,Moderate Deficit
11,4,7,0,1,1,0,1,Moderate Deficit
71,8,63,0,36,4,1,0,Server Deficit
5,0,5,0,5,0,0,1,Moderate Deficit
7,2,5,0,2,4,0,1,Moderate Deficit
6,0,6,0,4,2,0,1,Moderate Deficit
11,0,11,0,6,1,0,1,Moderate Deficit
98,4,94,0,89,1,0,0,Server Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
12,1,11,0,4,1,0,1,Moderate Deficit
6,0,6,0,2,0,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
44,2,42,0,6,5,1,1,Moderate Deficit
5,1,4,0,0,1,0,1,Moderate Deficit
18,1,17,0,12,0,0,1,Moderate Deficit
3,0,3,0,2,0,0,1,Moderate Deficit
12,1,11,0,3,1,0,1,Moderate Deficit
4,2,2,0,1,1,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
14,1,13,0,7,0,0,1,Moderate Deficit
11,2,9,0,3,0,0,1,Moderate Deficit
12,1,11,0,3,1,0,1,Moderate Deficit
8,1,7,0,0,1,0,1,Moderate Deficit
3,2,1,0,2,0,0,1,Moderate Deficit
34,6,28,0,3,3,0,1,Moderate Deficit
13,1,12,0,7,0,1,1,Moderate Deficit
7,0,7,0,1,1,0,1,Moderate Deficit
5,0,5,0,1,0,0,1,Moderate Deficit
2,2,0,0,0,0,0,1,Moderate Deficit
31,2,29,0,31,0,0,1,Moderate Deficit
34,4,30,0,2,5,3,1,Moderate Deficit
1,1,0,0,1,0,0,1,Moderate Deficit
3,0,3,0,0,1,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
11,0,11,0,0,2,0,1,Moderate Deficit
25,2,23,0,21,0,1,1,Moderate Deficit
3,1,2,0,0,0,0,1,Moderate Deficit
5,1,4,0,1,2,0,1,Moderate Deficit
15,4,11,0,3,4,0,1,Moderate Deficit
6,0,6,0,6,0,0,1,Moderate Deficit
3,3,0,0,0,0,0,1,Moderate Deficit
16,0,16,0,10,2,0,1,Moderate Deficit
42,18,24,0,35,0,3,0,Server Deficit
28,6,22,0,5,1,0,1,Moderate Deficit
16,1,15,0,8,0,0,1,Moderate Deficit
7,3,4,0,0,1,0,1,Moderate Deficit
17,0,17,0,10,2,1,1,Moderate Deficit
4,1,3,0,0,0,0,1,Moderate Deficit
6,2,4,0,5,0,0,1,Moderate Deficit
23,2,21,0,3,0,0,1,Moderate Deficit
7,5,2,0,3,2,1,1,Moderate Deficit
3,1,2,0,1,1,0,1,Moderate Deficit
5,1,4,0,1,2,1,1,Moderate Deficit
52,4,48,0,4,6,1,0,Server Deficit
9,0,9,0,4,0,0,1,Moderate Deficit
4,3,1,0,0,0,0,1,Moderate Deficit
43,1,42,0,31,1,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
0,0,0,0,0,0,0,1,Moderate Deficit
6,2,4,0,0,0,1,1,Moderate Deficit
7,1,6,0,3,0,0,1,Moderate Deficit
1,1,0,0,0,0,0,1,Moderate Deficit
37,1,36,0,37,0,0,1,Moderate Deficit
36,9,27,0,13,1,0,1,Moderate Deficit
9,0,9,0,6,1,0,1,Moderate Deficit
16,0,16,0,13,0,0,1,Moderate Deficit
31,5,26,0,1,2,0,1,Moderate Deficit
17,0,17,0,16,0,0,1,Moderate Deficit
46,3,43,0,37,2,0,0,Server Deficit
16,1,15,0,2,2,0,1,Moderate Deficit
32,2,30,0,23,1,0,1,Moderate Deficit
32,4,28,0,24,0,1,1,Moderate Deficit
6,1,5,0,6,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
2,0,2,0,0,0,0,1,Moderate Deficit
16,1,15,0,2,2,0,1,Moderate Deficit
10,3,7,0,9,1,0,1,Moderate Deficit
2,1,1,0,0,1,0,1,Moderate Deficit
11,0,11,0,0,2,0,1,Moderate Deficit
18,7,11,0,5,4,1,1,Moderate Deficit
14,1,13,0,3,3,1,1,Moderate Deficit
4,0,4,0,0,0,0,1,Moderate Deficit
52,15,37,0,7,12,2,0,Server Deficit
4,2,2,0,0,0,0,1,Moderate Deficit
6,0,6,0,0,0,0,1,Moderate Deficit
36,6,30,0,24,1,0,1,Moderate Deficit
6,1,5,0,0,0,0,1,Moderate Deficit
14,5,9,0,3,1,0,1,Moderate Deficit
5,0,5,0,1,0,0,1,Moderate Deficit
9,0,9,0,0,2,0,1,Moderate Deficit
6,0,6,0,0,1,0,1,Moderate Deficit
6,1,5,0,0,3,0,1,Moderate Deficit
6,1,5,0,2,0,0,1,Moderate Deficit
50,3,47,0,16,0,1,1,Moderate Deficit
