pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,Cluster,Deficit_Tier
7392753,3,9,7,1,6,2,6,0,0,1,1,1,1,1,0,0,0,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,2,0,0,0,0,1,1,0,1,2,2,2,Well Equipped
8759280,3,2,1,1,5,0,2,0,0,2,1,0,1,1,0,0,0,0,2,4,1,2,2,1,2,2,2,2,2,1,2,2,2,3,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,1,0,1,0,1,0,0,1,2,2,2,Well Equipped
4662737,3,6,2,7,7,1,7,0,0,1,2,2,2,2,0,0,0,0,3,7,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,3,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,6,2,0,2,0,1,1,1,1,2,2,2,Well Equipped
4253320,3,1,1,1,5,2,2,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,1,0,0,2,2,2,2,Well Equipped
9284917,1,1,1,1,14,3,14,0,0,1,4,4,4,4,1,1,1,1,11,11,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,1,4,0,1,0,1,1,1,1,2,3,2,Well Equipped
2595294,3,4,3,1,5,4,5,0,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,1,0,0,0,0,1,1,1,2,2,2,Well Equipped
3297547,3,14,7,1,34,5,34,0,0,1,2,2,4,4,2,2,2,2,12,12,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,4,4,4,4,3,1,1,0,0,20,587,0,1,2,1,1,1,1,2,1,Moderate Deficit
6254040,1,4,4,1,44,7,47,0,0,1,23,23,21,21,8,8,8,8,65,60,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,4,4,4,1,1,1,9,2,13,50,1500,5,1,0,0,0,1,1,2,1,Moderate Deficit
5803695,2,7,7,1,8,2,8,0,0,1,3,3,3,3,0,0,0,0,3,3,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,7,4,0,0,1,2,2,1,1,2,2,0,Server Deficit
1489643,3,3,3,1,7,1,7,0,0,1,3,3,2,2,0,0,0,0,9,6,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,1,2,2,2,2,Well Equipped
2233530,2,1,1,1,0,5,16,0,0,1,10,10,10,10,1,1,1,1,9,0,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,1,2,0,16,30,0,0,0,8,2,3,1,2,3,0,Server Deficit
2260972,1,1,1,1,0,10,47,0,0,1,16,16,24,24,2,2,2,2,36,24,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,9,1,1,1,1,1,1,1,1,4,4,4,4,1,1,9,61,53,155,0,0,0,44,47,9,1,2,1,1,Moderate Deficit
4282645,3,4,2,1,3,2,3,0,0,2,1,1,1,1,0,0,0,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,1,0,1,0,1,0,0,1,2,3,2,Well Equipped
9258522,3,1,1,1,5,0,2,0,0,2,0,0,1,1,0,0,0,0,0,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,0,0,0,2,2,2,0,Server Deficit
5223820,3,14,13,1,10,4,10,0,0,1,5,5,5,5,0,0,1,1,10,10,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,6,10,0,12,1,1,3,2,1,2,2,2,Well Equipped
2498763,3,2,1,2,6,1,3,3,0,2,2,1,2,1,0,0,0,0,1,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,10,0,10,1,1,1,1,1,2,2,2,Well Equipped
9930322,2,6,5,1,5,0,5,0,0,2,0,0,1,1,0,0,0,0,0,5,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,2,0,0,0,1,1,1,1,1,2,2,Well Equipped
6967308,3,2,2,3,5,0,2,0,1,2,1,1,1,1,0,0,0,0,3,3,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,5,2,0,1,0,1,1,1,1,2,2,2,Well Equipped
5440082,2,1,1,1,8,2,8,0,0,1,2,2,2,2,1,1,1,1,6,4,1,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,1,2,2,2,Well Equipped
2291263,3,8,8,1,10,1,12,0,0,1,5,5,5,5,5,0,0,0,20,22,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,9,0,0,0,0,2,1,0,1,2,2,0,Server Deficit
7262137,2,3,18,1,22,17,18,0,0,1,7,7,7,7,2,1,2,2,7,21,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,0,2,1300,2,0,0,0,0,1,1,2,2,Well Equipped
5731574,1,1,1,1,38,5,38,0,0,1,2,2,2,2,1,1,1,1,6,2,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,1,1,1,1,1,4,4,4,1,2,9,1,0,20,0,20,0,0,2,0,1,2,2,1,Moderate Deficit
4266732,2,8,8,2,5,4,5,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,1,1,0,1,1,1,1,2,2,Well Equipped
1841999,3,1,1,1,5,0,1,0,0,2,1,1,1,1,0,0,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,2,0,0,1,0,1,0,0,1,2,2,2,Well Equipped
1766568,3,10,4,1,9,2,8,0,2,1,3,3,5,2,0,0,0,0,14,10,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,6,2,0,0,0,1,2,3,1,2,2,2,Well Equipped
1557017,1,1,1,1,7,7,7,0,0,1,1,1,7,7,1,1,1,1,2,14,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,1,0,0,1,0,1,2,2,2,Well Equipped
9652863,1,1,1,1,12,9,12,0,0,1,7,7,6,6,2,1,2,1,21,18,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,4,2,9,0,0,19,1340,2,0,0,2,0,1,1,2,1,Moderate Deficit
7065381,1,1,0,1,5,1,5,0,0,1,2,2,2,2,1,1,1,1,2,6,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,2,2,2,2,Well Equipped
7606434,1,8,2,1,93,5,45,0,0,1,17,16,16,15,7,5,7,5,16,15,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,4,1,1,9,1,0,60,0,4,1,17,0,4,1,1,2,1,Moderate Deficit
