pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn
9273965,3,0,1,1,0,1,2,0,0,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,9,1,1,1,3,0,0,0,0,0,0,0,0,0,2,9,0,2,0,0,0,0,0,0,0,2,2,3
4034991,3,0,1,1,0,4,4,0,0,1,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,2,2,2
9272914,3,0,1,6,0,8,18,0,0,1,12,12,9,9,12,12,9,9,6,0,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,3,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,85,1,0,0,0,5,1,1,1,2,3
4914331,3,0,4,1,0,1,16,1,1,2,2,2,2,2,1,1,1,1,1,10,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,3
4118745,3,0,1,1,0,1,5,0,0,2,2,2,2,2,0,0,0,0,0,0,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,1,2,3
5460611,3,0,1,1,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,3,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,1,1,2,2,1
8418608,1,0,0,7,0,1,10,0,0,1,3,3,3,3,0,0,0,0,2,0,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,2,0,4,0,0,0,0,0,1,1,2,3
2150897,2,0,4,5,0,8,26,0,0,1,15,15,15,15,15,15,15,15,10,10,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,9,2,2,9,1,0,0,0,0,0,0,0,0,0,2,9,0,0,45,0,35,1,35,35,3,1,2,3
2168131,2,0,1,1,0,11,6,0,0,1,0,0,6,6,0,0,0,0,0,0,1,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,9,1,0,13,0,0,1,6,6,2,1,2,1
3908739,2,0,1,1,0,5,13,0,0,1,5,5,5,5,2,2,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,1,9,2,0,18,0,3,0,3,1,1,1,2,2
6183731,1,0,1,1,0,25,25,0,0,1,25,25,25,25,0,0,0,0,20,20,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,9,1,2,9,1,0,0,0,0,0,0,0,0,0,2,9,15,0,4,0,1,1,20,15,4,1,2,1
