electricity_availability,tap_yn,desktop,laptop,tablet,internet,Cluster,Deficit_Tier
1,1,0,0,2,2,2,Well Equipped
1,1,5,0,0,2,2,Well Equipped
1,2,1,1,85,1,0,Server Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,1,0,0,2,2,Well Equipped
1,1,4,2,0,1,1,Moderate Deficit
1,1,45,0,0,1,1,Moderate Deficit
1,1,13,1,0,1,1,Moderate Deficit
1,1,18,2,0,1,1,Moderate Deficit
1,1,4,15,0,1,1,Moderate Deficit
1,1,20,2,0,1,1,Moderate Deficit
1,1,6,1,0,1,1,Moderate Deficit
1,1,23,3,0,1,1,Moderate Deficit
1,1,40,3,0,1,1,Moderate Deficit
1,1,12,0,0,1,1,Moderate Deficit
1,1,60,4,0,1,1,Moderate Deficit
1,1,74,22,2,1,1,Moderate Deficit
1,1,0,0,0,1,1,Moderate Deficit
1,1,12,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,1,0,0,1,1,Moderate Deficit
1,2,21,1,0,2,0,Server Deficit
1,1,20,0,0,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,150,20,0,1,1,Moderate Deficit
1,1,5,1,0,1,1,Moderate Deficit
1,1,3,2,1,1,1,Moderate Deficit
1,2,7,3,0,1,0,Server Deficit
1,1,1,2,2,1,1,Moderate Deficit
1,1,25,1,1,1,1,Moderate Deficit
1,1,4,15,0,1,1,Moderate Deficit
1,1,8,1,0,1,1,Moderate Deficit
1,2,44,3,40,1,0,Server Deficit
1,2,96,1,0,1,0,Server Deficit
1,1,21,6,0,1,1,Moderate Deficit
1,1,2,5,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,5,0,0,1,1,Moderate Deficit
1,1,26,8,0,1,1,Moderate Deficit
1,1,130,15,0,1,1,Moderate Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,12,1,0,1,1,Moderate Deficit
1,1,10,1,0,1,1,Moderate Deficit
1,1,1,1,0,1,1,Moderate Deficit
1,1,74,5,1,1,1,Moderate Deficit
1,1,7,1,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,1,1,Moderate Deficit
1,1,0,0,0,2,2,Well Equipped
1,1,0,0,0,2,2,Well Equipped
1,1,0,1,3,2,2,Well Equipped
1,1,15,20,0,1,1,Moderate Deficit
1,1,30,0,0,1,1,Moderate Deficit
1,2,18,1,4,1,0,Server Deficit
1,1,2,2,0,1,1,Moderate Deficit
1,1,12,2,1,1,1,Moderate Deficit
2,1,0,0,0,2,2,Well Equipped
1,1,15,2,0,2,2,Well Equipped
1,1,1,1,0,2,2,Well Equipped
1,1,4,2,1,1,1,Moderate Deficit
