electricity_availability,tap_yn,desktop,laptop,tablet,internet,Cluster,Deficit_Tier
1,2,5,0,6,2,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,1,0,0,0,2,0,Server Deficit
1,2,0,1,0,2,0,Server Deficit
1,1,11,0,2,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,10,0,2,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,4,0,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,0,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,2,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
3,2,0,0,1,1,1,Moderate Deficit
1,2,3,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,0,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,1,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,0,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
3,2,0,0,1,1,1,Moderate Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,1,11,0,0,1,0,Server Deficit
1,1,25,0,0,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,0,2,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,1,10,1,36,1,0,Server Deficit
1,2,1,0,0,1,0,Server Deficit
1,2,11,0,2,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,11,0,0,1,0,Server Deficit
1,2,0,0,0,2,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,2,0,34,230,2,2,Well Equipped
1,1,0,0,1,1,0,Server Deficit
1,1,10,0,2,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,2,0,1,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,1,0,0,0,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,2,0,0,0,1,0,Server Deficit
1,1,0,0,1,2,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
1,2,11,0,0,1,0,Server Deficit
1,2,0,0,1,2,0,Server Deficit
1,1,0,0,0,1,0,Server Deficit
1,1,0,0,1,1,0,Server Deficit
1,2,0,0,1,1,0,Server Deficit
